"Si_No","TestCase_No","Status","Screenshot_Path"
"4","TC_04","FAIL","C:\Users\biswa\eclipse-workspace\BiswajitFramework\Screenshot\2023-07-31\14_28_34\TC_04.png"
"9","TC_09","PASS","C:\Users\biswa\eclipse-workspace\BiswajitFramework\Screenshot\2023-07-31\14_28_36\TC_09.png"
"16","TC_16","PASS","C:\Users\biswa\eclipse-workspace\BiswajitFramework\Screenshot\2023-07-31\14_28_43\TC_16.png"
"30","TC_30","PASS","C:\Users\biswa\eclipse-workspace\BiswajitFramework\Screenshot\2023-07-31\14_29_05\TC_30.png"
"38","TC_38","FAIL","C:\Users\biswa\eclipse-workspace\BiswajitFramework\Screenshot\2023-07-31\14_29_38\TC_38.png"
